fighter_id;fighter_alternate_id;category;draws;imgUrl;losses;name;nickname;wins;status;placeOfBirth;trainsAt;fightingStyle;age;height;weight;octagonDebut;reach;legReach
;tecia-pennington;Women's Strawweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PENNINGTON_TECIA_L_05-11.png?itok=YQRjrZDR;7;Tecia Pennington;Tiny Tornado;14;Active;Fall River, United States;American Top Team ATT Coconut Creek, FL;Kickboxer;35;154.94;115.00;Dec. 12, 2014;153.67000000000002;88.9
;viviane-araujo;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ARAUJO_VIVIANE_L_11-16.png?itok=o6-gyAvC;6;Viviane Araujo;Vivi;13;Active;Brasilia, Brazil;;MMA;38;162.56;125.60;May. 11, 2019;172.72;92.71000000000001
;jasmine-jasudavicius;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/JASUDAVICIUS_JASMINE_L_02-01.png?itok=kujav2Bq;3;Jasmine Jasudavicius;;13;Active;St. Catharines, Canada;Niagara Top Team;Brawler;36;170.18;125.00;Jan. 22, 2022;172.72;96.52
;tracy-cortez;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CORTEZ_TRACY_L_07-13.png?itok=J_AF5Af7;2;Tracy Cortez;;11;Active;Phoenix, United States;;MMA;31;165.1;126.00;Nov. 16, 2019;166.37;97.79
;karine-silva;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SILVA_KARINE_L_08-19.png?itok=uhMrXGKY;5;Karine Silva;Killer;18;Active;Dourados, Brazil;Gile Ribeiro - Curitiba, Brazil;Brazilian Jiu-Jitsu;31;165.1;125.80;Jun. 4, 2022;170.18;93.98
;miranda-maverick;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MAVERICK_MIRANDA_L_12-14.png?itok=jVXEhXGn;5;Miranda Maverick;Fear The;17;Active;Jefferson City, United States;Pound 4 Pound Muay Thai & Easton Training Center Denver;Jiu-Jitsu;27;161.29;126.00;Jun. 27, 2020;166.37;96.52
;ariane-da-silva;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/DA_SILVA_ARIANE_L_11-02.png?itok=4VGCaBdI;10;Ariane da Silva;The Queen;17;Active;Curitiba, Brazil;;Striker;31;167.64000000000001;125.00;Jan. 19, 2019;170.18;97.79
;casey-oneill;Women's Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ONEILL_CASEY_L_08-17.png?itok=G3lQIzld;2;Casey O'Neill;King;10;Active;Irvine, Scotland;;MMA;27;167.64000000000001;125.50;Feb. 20, 2021;175.26;93.98
;mayra-bueno-silva;Women's Flyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BUENO_SILVA_MAYRA_L_06-29.png?itok=Gp0HRlLM;5;Mayra Bueno Silva;Sheetara;10;Active;Uberlandia, Brazil;Team Sheetara;Striker;33;167.64000000000001;126.00;Sep. 23, 2018;168.91;99.06
;ketlen-vieira;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/VIEIRA_KETLEN_L_10-05.png?itok=hyqtNfQd;4;Ketlen Vieira;Fenomeno;14;Active;State of Amazonas, Brazil;;Judo;33;172.72;136.00;Oct. 2, 2016;172.72;100.33
;norma-dumont;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/DUMONT_NORMA_L_04-06.png?itok=xp9K6aXN;2;Norma Dumont;The Immortal;12;Active;Belo Horizonte, Brazil;;;34;170.18;136.00;Feb. 29, 2020;170.18;97.79
;macy-chiasson;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CHIASSON_MACY_L_06-29.png?itok=c8p4lY42;3;Macy Chiasson;;11;Active;United States;Fortis MMA;MMA;33;180.34;135.50;Nov. 30, 2018;182.88;106.68
;irene-aldana;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ALDANA_IRENE_L_09-14.png?itok=95IDLSZy;8;Irene Aldana;;15;Active;Culiacan, Mexico;;Striker;36;175.26;136.00;Dec. 18, 2016;173.99;97.79
;ailin-perez;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/13/PEREZ_AILIN_L_09-28.png?itok=UOV5hABI;2;Ailin Perez;Fiona;12;Active;CABA, Argentina;Goat Shed Academy;Kung Fu;30;165.1;135.00;Sep. 3, 2022;167.64000000000001;91.44
;karol-rosa;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/ROSA_KAROL_L_01-18.png?itok=KH9ZUt86;7;Karol Rosa;;18;Active;Vila Velha, Brazil;;Muay Thai;30;165.1;135.50;Aug. 31, 2019;171.45;91.44
;yana-santos;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SANTOS_YANA_L_08-10.png?itok=IkwLle-p;8;Yana Santos;;15;Active;Russia;American Top Team;MMA;35;167.64000000000001;135.50;Mar. 3, 2018;173.99;101.6
;miesha-tate;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/TATE_MIESHA_L_12-02.png?itok=LokjikSC;9;Miesha Tate;Cupcake;20;Active;Tacoma, United States;Xtreme Couture - Las Vegas, NV;Grappler;38;167.64000000000001;135.50;Aug. 19, 2012;165.1;95.25
;jacqueline-cavalcanti;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CAVALCANTI_JACQUELINE_L_08-24.png?itok=E-jaWaCl;1;Jacqueline Cavalcanti;;9;Active;Brazil;Team Cavalcanti;Striker;27;172.72;134.50;Sep. 2, 2023;177.8;104.14
;nora-cornolle;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/2/CORNOLLE_NORA_L_09-28.png?itok=j2fsVyVn;2;Nora Cornolle;;8;Active;Epinay sur Seine, France;;Muay Thai;35;170.18;136.00;Sep. 2, 2023;170.18;96.52
;chelsea-chandler;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/CHANDLER_CHELSEA_L_03-16.png?itok=XHfzSG5Z;3;Chelsea Chandler;;6;Active;Stockton, United States;Gracie Fighter Stockton;MMA;34;173.99;141.00;Oct. 1, 2022;172.72;101.6
;joselyne-edwards;Women's Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/14/EDWARDS_JOSELYNE_L_10-19.png?itok=sr199eqH;6;Joselyne Edwards;La Pantera;14;Active;Panama;Xtreme Couture - Las Vegas, NV;Striker;29;172.72;139.00;Jan. 16, 2021;177.8;99.06
